SoC,True_OCV
0.0,2.6395
0.005025125628140703,2.745741206030151
0.010050251256281405,2.8166984924623115
0.01507537688442211,2.8688241206030156
0.02010050251256281,2.9100979899497488
0.025125628140703515,2.9500402010050255
0.03015075376884422,2.9803643216080404
0.035175879396984924,3.007256281407036
0.04020100502512562,3.0305
0.045226130653266326,3.0539723618090457
0.05025125628140703,3.0725804020100504
0.055276381909547735,3.0919924623115578
0.06030150753768844,3.10936432160804
0.06532663316582914,3.1229623115577887
0.07035175879396985,3.1355000000000004
0.07537688442211055,3.1490804020100502
0.08040201005025124,3.158
0.08542713567839195,3.1652788944723618
0.09045226130653265,3.17064824120603
0.09547738693467336,3.173517587939698
0.10050251256281406,3.176386934673367
0.10552763819095476,3.1795
0.11055276381909547,3.1811256281407037
0.11557788944723617,3.186
0.12060301507537688,3.1875
0.12562814070351758,3.190170854271357
0.13065326633165827,3.191
0.13567839195979897,3.191
0.1407035175879397,3.1925
0.1457286432160804,3.1944999999999997
0.1507537688442211,3.197
0.1557788944723618,3.198
0.1608040201005025,3.198
0.16582914572864318,3.199
0.1708542713567839,3.2020854271356782
0.17587939698492464,3.205
0.1809045226130653,3.205
0.185929648241206,3.2085
0.19095477386934673,3.209035175879397
0.19597989949748743,3.211
0.20100502512562812,3.2155
0.20603015075376882,3.2165
0.21105527638190952,3.2180929648241205
0.21608040201005024,3.222381909547739
0.22110552763819094,3.223
0.2261306532663316,3.2235
0.23115577889447234,3.2279999999999998
0.23618090452261306,3.2305
0.24120603015075376,3.2307713567839196
0.24623115577889443,3.234
0.25125628140703515,3.235
0.2562814070351759,3.2378366834170853
0.26130653266331655,3.238206030150754
0.2663316582914572,3.2395
0.27135678391959794,3.2415000000000003
0.27638190954773867,3.243
0.2814070351758794,3.245
0.28643216080402006,3.2450527638190954
0.2914572864321608,3.2485
0.2964824120603015,3.249
0.3015075376884422,3.2504999999999997
0.30653266331658285,3.2515
0.3115577889447236,3.254
0.3165829145728643,3.2560000000000002
0.321608040201005,3.2565
0.3266331658291457,3.2565
0.33165829145728637,3.2575000000000003
0.33668341708542715,3.2590000000000003
0.3417085427135678,3.2605
0.3467336683417085,3.2625
0.35175879396984927,3.263
0.35678391959798994,3.263
0.3618090452261306,3.2635
0.3668341708542713,3.2645
0.371859296482412,3.2655000000000003
0.37688442211055273,3.2670000000000003
0.38190954773869346,3.2670000000000003
0.3869346733668341,3.2674396984924625
0.39195979899497485,3.2675
0.3969849246231156,3.2675
0.40201005025125625,3.2675
0.4070351758793969,3.268
0.41206030150753764,3.2685000000000004
0.41708542713567837,3.2691557788944725
0.42211055276381904,3.2705
0.42713567839195976,3.2705
0.4321608040201005,3.2705
0.4371859296482412,3.2715
0.4422110552763819,3.2720000000000002
0.44723618090452255,3.2725
0.4522613065326632,3.2735000000000003
0.457286432160804,3.2750000000000004
0.46231155778894467,3.2759798994974876
0.46733668341708534,3.277
0.4723618090452261,3.277
0.4773869346733668,3.277
0.4824120603015075,3.2770427135678393
0.4874371859296482,3.2775
0.49246231155778886,3.2775
0.49748743718592964,3.2775
0.5025125628140703,3.2775
0.507537688442211,3.2785
0.5125628140703518,3.279
0.5175879396984925,3.2794999999999996
0.5226130653266331,3.2805
0.5276381909547738,3.2809999999999997
0.5326633165829144,3.2815
0.5376884422110553,3.2815
0.5427135678391959,3.2815
0.5477386934673366,3.2817412060301505
0.5527638190954773,3.2816281407035177
0.5577889447236181,3.282
0.5628140703517588,3.282
0.5678391959798994,3.282
0.5728643216080401,3.282
0.5778894472361809,3.282474874371859
0.5829145728643216,3.2824999999999998
0.5879396984924622,3.2835
0.592964824120603,3.285
0.5979899497487436,3.2865
0.6030150753768844,3.287821608040201
0.6080402010050251,3.2885
0.6130653266331657,3.2885
0.6180904522613065,3.2885
0.6231155778894472,3.28851256281407
0.6281407035175879,3.2891683417085424
0.6331658291457286,3.289462311557789
0.6381909547738693,3.2895
0.64321608040201,3.2895
0.6482412060301508,3.2895
0.6532663316582914,3.2895
0.6582914572864321,3.2895
0.6633165829145727,3.2895
0.6683417085427135,3.2895
0.6733668341708543,3.2905
0.6783919597989949,3.2925000000000004
0.6834170854271356,3.2935
0.6884422110552764,3.2945
0.693467336683417,3.2949698492462307
0.6984924623115577,3.295
0.7035175879396985,3.2955
0.7085427135678392,3.2960000000000003
0.7135678391959799,3.2975000000000003
0.7185929648241205,3.2990000000000004
0.7236180904522612,3.299175879396985
0.728643216080402,3.2995
0.7336683417085426,3.2999246231155777
0.7386934673366834,3.301075376884422
0.743718592964824,3.3035
0.7487437185929647,3.3035
0.7537688442211055,3.3035
0.7587939698492461,3.307
0.7638190954773869,3.3076407035175874
0.7688442211055276,3.308
0.7738693467336683,3.3090075376884425
0.778894472361809,3.3120000000000003
0.7839195979899497,3.3129999999999997
0.7889447236180903,3.3135
0.7939698492462312,3.3145
0.7989949748743718,3.317
0.8040201005025125,3.3175
0.8090452261306532,3.3175
0.8140703517587938,3.318
0.8190954773869347,3.318
0.8241206030150753,3.318
0.829145728643216,3.318
0.8341708542713567,3.3195
0.8391959798994973,3.3225
0.8442211055276381,3.324
0.8492462311557789,3.325
0.8542713567839195,3.3255
0.8592964824120602,3.3288417085427136
0.864321608040201,3.3295000000000003
0.8693467336683416,3.331037688442211
0.8743718592964824,3.333
0.879396984924623,3.3369999999999997
0.8844221105527638,3.3415
0.8894472361809045,3.346
0.8944723618090451,3.3542437185929646
0.8994974874371858,3.3635100502512563
0.9045226130653264,3.376
0.9095477386934673,3.3945
0.914572864321608,3.4212085427135674
